Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
M16.17,MON-02,Logs shall be linked back to specific network equipment or services.,"6(1); 6(2)(a); 6(3)(a),(e); 6(4); 9(2)(c)(i),(iv)","This is a native function of VCF/TCP's centralized logging. All logs forwarded from components like ESX hosts, vCenter, and NSX Managers to VCF Operations for Logs are automatically tagged with metadata, such as the source hostname, IP address, and application. This ensures all log entries are directly linked back to the specific network equipment or service that generated them, which is essential for troubleshooting and analysis.",Contributes,,,,,,,,,,,,,,,,,,,
M16.18,MON-01.2,Logs shall be processed and analysed in near real-time (in any case within five minutes) and generate security relevant events.,"4(4)(b); 5(1)(a); 6(1); 6(2)(a),(b); 6(3)(c),(d),(e); 9(2)(c)(i),(iv); 11(a)","VCF/TCP is designed for real-time log processing. All platform components stream logs via syslog to VCF Operations for Logs, which ingests and indexes data as it arrives. This enables near real-time analysis, searching, and alerting, allowing security teams to generate events from log data well within a five-minute window.",Contributes,,,,,,,,,,,,,,,,,,,
M16.19,MON-01.2,The provider shall ensure that tools and techniques are utilised to support analysts in understanding the data collected.,"6(1); 6(2)(a),(b); 6(3)(c),(e); 7(4)(iv); 9(1); 11(a)","VCF/TCP provides a comprehensive suite of tools to support analysts. VCF Operations for Logs provides advanced dashboards, query capabilities, and machine-learning to help analysts find patterns in log data. vDefend Network Traffic Analysis (NTA) provides deep visibility and automated anomaly detection, allowing analysts to understand complex network flows and identify threats. For host-level analysis, vDefend Distributed Malware Prevention (DMP) provides detailed information on detected malware. Finally, the vDefend Distributed IDS/IPS provides granular metadata for all triggered threat signatures, giving analysts the rich, specific context needed for their investigations.",Contributes,,,,,,,,,,,,,,,,,,,
M16.20,"MON-01.8,MON-02.1",Providers shall regularly review access logs and correlate this data with other access records and ticketed activity.,"6(1); 6(2)(a),(b); 6(3)(a),(b),(c),(d),(e); 8(5)(d); 9(2)(c)(i),(iv)","VCF/TCP provides the centralized data required to perform this review. VCF SSO logs all successful and failed authentication attempts from all identity sources. These logs are collected by VCF Operations for Logs, which allows analysts to review all access, correlate it with data from other systems (like tickets or Active Directory), and build dashboards to detect anomalies or policy violations.",Contributes,,,,,,,,,,,,,,,,,,,
M16.21,"IRO-02, MON-01.8","Indications of potential anomalous activity, and potential malicious activity, shall be promptly assessed, investigated and addressed.","6(1); 6(2)(a),(b); 6(3)(d),(e); 9(2)(c)(i),(ii),(iv),(v)","While the formal assessment and investigation process is an organizational responsibility, VCF/TCP provides the integrated tools to detect, investigate, and address such activity. Indications of anomalous or malicious activity are generated by VMware vDefend's Distributed IDS/IPS, Network Traffic Analysis (NTA), and Distributed Malware Prevention (DMP) engines. To ""assess"" and ""investigate"" this activity, security teams can use VCF Operations for Networks to visualize the anomalous network flows and their dependencies. This is used in conjunction with VCF Operations for Logs, which allows analysts to correlate the threat with platform-wide logs. To ""address"" the threat, the provider can then use the VMware vDefend Distributed Firewall to immediately apply a quarantine policy to the affected workload, isolating it from the network.",Contributes,,,,,,,,,,,,,,,,,,,
M16.22,"MON-02.1,AST-01","Logging data shall be correlated with data within asset management systems to detect anomalies. Models shall be developed to characterise 'normal' traffic within networks, including type and volume.","6(1); 6(2)(a),(b); 6(3)(a),(d),(e); 9(2)(a); 9(2)(c)(i),(iv)","VCF/TCP provides tools for both correlation and traffic modeling. To address the first part of the requirement, VCF Operations for Logs can ingest and correlate logging data from all VCF/TCP components and can be integrated with external asset management systems via its API to detect anomalies. For the second part, modeling 'normal' traffic, VCF Operations for Networks (formerly vRealize Network Insight) analyzes network flows to build a detailed baseline of communication patterns. This is complemented by VMware vDefend's Network Traffic Analysis (NTA) and behavior-based detection, which automatically identifies anomalous activities that deviate from this normal baseline.",Contributes,,,,,,,,,,,,,,,,,,,
Management Plane 4,,, , , ,,,,,,,,,,,,,,,,,,,
M17.01,"IAC-16, IAC-21.1, MON-01.15, MON-01.12","Administrators should not need privileged access to network equipment to make administrative changes. Administrators should instead have privileged access to administrative systems (e.g. OSS) which make the necessary changes on the administrator's behalf. Administrative systems should group administrative changes to automate administrative processes and minimise administrator input and risk. When an administrator uses a privileged access into a security critical function, which is not an administrative system, this shall create a security alert.","3(5); 6(2); 6(3)(c),(d); 8(1); 8(2)(g)","VCF/TCP implements granular role-based access control and additional authorization mechanisms to enforce access policies across infrastructure operations. Detailed logging monitors all changes. Integration with IT Service Management (ITSM) platforms enables change tracking and approval workflows. VCF/TCP maintains comprehensive audit trails for all configuration changes and supports rollback capabilities.

VCF Automation provides workflow processes that include change approval mechanisms for organizational change management requirements. 

vSphere Lifecycle Manager (vLCM) provides centralized lifecycle management for ESX hosts, drivers, firmware, and add-on software. vLCM uses desired state configuration to maintain consistency across infrastructure components and automatically detects and remediates configuration drift. This ensures all hosts remain compliant with approved baselines while providing detailed change tracking and rollback capabilities.

Change management extends to Kubernetes environments through vSphere Namespaces. Resource limits, storage policies, and access permissions require appropriate approvals before modification. VCF/TCP tracks all changes to namespace configurations, container deployments, and Kubernetes cluster lifecycle operations through unified audit logging. VCF Operations provides configuration drift detection and alerts administrators when unauthorized changes occur. This enables rapid remediation and maintains compliance with change control policies.

Platform uses Configuration Profiles, Host Profiles, and Image-Based Lifecycle Management to periodically assess host configurations. It alerts when drift is detected and offers automated remediation.",Contributes,,,,,,,,,,,,,,,,,,,
Signalling Plane 4,,, , , ,,,,,,,,,,,,,,,,,,,
M18.01,"NET-03, NET-04.10, BCD-01","The provider shall ensure that their critical, core and signalling security systems are highly resilient to signalling attacks. Signalling messages shall be validated at the logical edge of the network prior to being forwarded to critical or core nodes. Messages that are not encoded in a normal manner, or that are unrelated to a normal operation or call flow in the network, shall be blocked. All exceptions to this shall be understood, justified, and documented.","3(3)(a)(iv); 3(3)(c),(d),(e); 3(4); 4(1)(b); 4(2)(b); 4(4)(b); 8(3)","VCF/TCP provides resilience to signalling attacks at both the network and host level. At the network edge, the vDefend Gateway Firewall provides protections like DoS/DDoS flood protection. Internally, the VMware vDefend Distributed Firewall provides Layer 7 Deep Packet Inspection (DPI) to validate that signalling traffic is ""encoded in a normal manner"" and block malformed packets. At the host level, vDefend Distributed Malware Prevention (DMP) provides agentless, on-access malware scanning for the signalling workloads themselves, ensuring that even if a malicious payload is embedded in a valid signal, it is blocked before it can execute.",Contributes,,,,,,,,,,,,,,,,,,,
M18.02,"NET-03.7, SEA-07.2",A signalling failure for an externally-facing service shall not impact core nodes or security critical functions.,"3(3)(a),(d),(e); 3(5); 4(1)(b); 4(2)(b); 4(4)(b); 8(3)","VCF/TCP's Workload Domain architecture provides the isolation required to prevent signalling failures from propagating to critical infrastructure. Providers can deploy externally-facing signalling services in dedicated Edge Workload Domains while maintaining core network functions and security-critical components in separate, protected Management and Shared Service Domains. Resource pools, compute isolation, and separate failure domains ensure that resource exhaustion or failures in edge signalling workloads cannot affect core platform stability. VMware vDefend enforces network isolation between domains, preventing signalling traffic overloads or attacks from reaching critical management functions.",Contributes,,,,,,,,,,,,,,,,,,,
M18.03,"NET-06, DCH-23.4","With the exception of SS7 and GTP-C, only 'hub' signalling addresses shall be exposed externally. This shall be done in such a way that internal signalling addresses of critical core nodes are not shared or exposed externally.",4(1)(a); 4(2)(a); 4(4)(a); 4(5); 6(1); 8(1),VCF/TCP supports this network architecture through NSX Gateway capabilities. NSX Edge Gateways provide Network Address Translation (NAT) services that allow providers to expose only hub or aggregation addresses externally while maintaining private internal addressing schemes. VMware vDefend Gateway Firewall enforces which addresses are visible to external networks and applies stateful filtering to hub addresses. This topology hiding capability protects the internal network structure from external reconnaissance while maintaining necessary signalling connectivity.,Contributes,,,,,,,,,,,,,,,,,,,
M18.04,NET-04.12,Outgoing signalling shall be authenticated where this is supported by international standards.,"4(4)(b); 6(1); 6(2)(a),(b)","Authentication of signalling protocols is a function of the network applications (VNFs or CNFs) running on the VCF/TCP, not VCF/TCP itself. VCF/TCP provides the secure, isolated infrastructure to host these functions. It ensures the integrity of the workload through capabilities like VM Encryption and virtual TPMs (vTPMs), and secures the network path using NSX routing and VMware vDefend firewalling, including IPsec VPN capabilities. This secure infrastructure ensures the provider's authentication-capable signalling applications can run with high assurance.",Contributes,,,,,,,,,,,,,,,,,,,
M18.05,"DCH-23.4, PRI-05.3","Customer data and customer identifiers shall be obfuscated before being released over an external signalling network, except where it is functionally essential to provide this information.","4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 4(5); 6(1); 6(2)(a); 8(1); 8(5)(a)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M18.06,"DCH-23.4, NET-06","In protocols other than SS7 and GTP-C, signalling network topology information shall be obfuscated before being released over an external signalling network, except where it is functionally essential to provide this information.","4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 4(5); 6(1); 6(2)(a); 8(1); 8(2)(f); 8(5)(a)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
Virtualisation 2,,, , , ,,,,,,,,,,,,,,,,,,,
M19.01,"IAC-12.1, CRY-09","All non-ephemeral secrets, passwords and keys shall be stored in hardware-backed secure storage. Where providers are not able to apply this measure to existing networks and services they must set out what mitigating steps they are taking.","3(1)(a),(b),(c); 3(3)(d),(e); 3(5); 4(1)(a),(b); 4(2)(a),(b); 8(5)(a); 12(a),(b),(c)","VCF/TCP addresses this with a layered approach, starting with hardware-backed storage for the keys themselves. Physical ESX hosts, when equipped with a Trusted Platform Module (TPM), store their configuration encryption keys in this hardware-backed secure storage. For virtual machines, a virtual Trusted Platform Module (vTPM) can be enabled. This allows the VM's guest operating system to store its own non-ephemeral secrets and keys in a secure, hardware-backed equivalent.

These hardware-backed modules provide a secure root of trust for VCF/TCP's comprehensive data-at-rest encryption capabilities. Features like vSAN Data-at-Rest Encryption and VM Encryption use keys (which are protected by the TPM or an external KMS) to encrypt all data written to disk using the AES-256 cipher. This ensures that all non-ephemeral secrets, passwords, and data are protected at rest, and the keys used to protect them are also secured in hardware.",Contributes,,,,,,,,,,,,,,,,,,,
M19.02,"IAC-04.1, CFG-02",Only physical hosts that have cryptographically attested to be in a known-good state can be provisioned into the virtualisation fabric.,"3(1)(a),(b),(c); 3(3)(d),(e); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 8(3); 8(4); 12","VCF/TCP addresses this with controls at both provision-time and run-time. For provisioning, it ensures only known and trusted hosts are added using privileged access control and a mandatory, auditable manual verification step. Adding a new ESX host to the fabric must be initiated from VCF Operations and vCenter by an authorized administrator. During this process, vCenter establishes a secure connection to the host and presents the host's SHA-256 certificate thumbprint. The administrator is required to manually verify this thumbprint against the one displayed on the host's console (DCUI). This human-in-the-loop verification is the critical control that prevents spoofed or ""unknown"" hosts from being provisioned.

Once provisioned, hosts that employ a Trusted Platform Module (TPM) provide continuous cryptographic attestation of their known-good state. The TPM enables Secure Boot, which includes code signing and continuous verification of code integrity for the hypervisor and its components. These hardware-rooted integrity checks cannot be disabled, providing a persistent assurance that the host is running a known-good, unaltered state and protecting it from boot-level and hypervisor-level malware.",Contributes,,,,,,,,,,,,,,,,,,,
M19.03,"IAC-27, NET-03.7","Where the virtualisation fabric allows virtual functions to have direct access to the physical hardware (cut-throughs), it shall not be treated as a security boundary.","3(1)(a),(b),(c); 3(3)(d),(e); 4(1)(a),(b); 4(2)(a),(b)","VCF/TCP supports hardware passthrough via VMware DirectPath I/O and Single Root I/O Virtualization (SR-IOV) for high-performance workloads. These ""cut-through"" mechanisms bypass the hypervisor networking stack, mapping I/O directly from the guest OS to the physical hardware.

A direct consequence is that hypervisor-level security services, such as the VMware vDefend Distributed Firewall (DFW), cannot inspect or enforce policy on this traffic. The DFW operates at the virtual NIC (vNIC) level, which is bypassed by these passthrough methods.

In accordance with this measure, VCF/TCP acknowledges that when passthrough is utilized, the hypervisor fabric cannot be treated as the security boundary for that I/o path. Security enforcement must be relocated to an external device, such as the upstream physical switch, treating the workload as a bare-metal equivalent from a network security perspective.",Contributes,,,,,,,,,,,,,,,,,,,
M19.04,"CHG-02.4, CFG-06.1","Where possible, the virtualisation fabric shall be built and updated through an automated and verifiable process.",8(2)(g); 12,"VCF/TCP is architected for automated and verifiable lifecycle management. The initial build is driven by VCF Operations using a standardized, automated workflow. For ongoing updates, vSphere Lifecycle Manager (vLCM), orchestrated by VCF Operations, uses a desired-state approach.

An administrator defines a single vLCM host image that specifies the exact software, drivers, and firmware for all ESX hosts in a cluster. vLCM then continuously checks the cluster for compliance against this image and can provide automated remediation to correct any drift. This verifiable, desired-state model ensures the fabric is built and updated in a consistent, automated, and auditable manner.",Contributes,,,,,,,,,,,,,,,,,,,
M19.05,"CFG-02.2, IAC-16","Where possible, only automated and verifiable methods of configuration shall be used for administration of the virtualisation fabric (authorised API calls etc).",8(2)(g),"VCF/TCP is an API-first platform designed for automated, verifiable administration. This is achieved using a desired-state model, where Host Configuration Profiles define the standard, golden configuration for all ESX host parameters. VCF Automation then acts as the engine to execute these configurations, allowing administration to be delivered via authorized API calls or as part of a self-service workflow. This model ensures that configuration is applied consistently, verifiably, and automatically during normal operation, fulfilling the ""infrastructure as code"" paradigm.",Contributes,,,,,,,,,,,,,,,,,,,
M19.06,"CHG-02.4, CFG-02.2","Where possible, administration of the virtualisation fabric shall be automated during normal operation.",8(2)(g),"VCF/TCP is an API-first platform designed for automated, verifiable administration. This is achieved using a desired-state model, where Host Configuration Profiles define the standard, golden configuration for all ESX host parameters. VCF Automation then acts as the engine to execute these configurations, allowing administration to be delivered via authorized API calls or as part of a self-service workflow. This model ensures that configuration is applied consistently, verifiably, and automatically during normal operation, fulfilling the ""infrastructure as code"" paradigm.",Contributes,,,,,,,,,,,,,,,,,,,
M19.07,"MON-01.15, MON-01.12, END-15",Manual administration of the virtualisation fabric (e.g. access to a command line on host infrastructure) shall produce an immediate alert.,6(3)(c); 8(2)(g),"VCF/TCP provides the specific logging and alerting capabilities to meet this requirement. When manual administration occurs, such as enabling the ESX Shell or a direct SSH login to an ESX host, the host generates distinct audit events (e.g., esx.audit.shell.enabled, esx.audit.ssh.session.opened). These events are forwarded to VCF Operations for Logs, which can be configured with a specific alert definition to trigger an immediate notification (e.g., via email or webhook) whenever these high-risk events are detected, ensuring security teams are alerted to this activity.",Contributes,,,,,,,,,,,,,,,,,,,
Monitoring and Analysis 2,,, , , ,,,,,,,,,,,,,,,,,,,
M20.01,MON-01.2,Automated tools shall be used to find and prioritise events that require manual analysis.,"3(3)(a); 4(1)(b); 4(2)(b); 5(3); 6(2)(a),(b); 6(3)(d),(f); 9(1); 9(2)(c)(i),(iv),(v),(vi)","VCF/TCP integrates security monitoring through the VCF Operations suite and VMware vDefend services. The VCF Operations suite includes VCF Operations, VCF Operations for Logs, and VCF Operations for Networks. VCF/TCP combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Real-time system alerts flag security misconfigurations, configuration changes, and potential threats across the infrastructure stack. This includes policy violations, log data anomalies, and system health violations such as vSAN storage alerts.

vCenter Server provides a comprehensive events and alarms framework that captures thousands of event types across hosts, virtual machines (VMs), storage, and networking components. Administrators can create customizable alarm definitions with automated responses to security events, threshold violations, and system state changes. This native vSphere eventing system forms the foundation for real-time security monitoring and incident response.

The VCF Operations Audit Events framework captures VCF/TCP interactions including user logins and logouts, capability checks, and configuration modifications across vSphere, vSAN, and NSX resources. This framework enhances transparency, control, and accountability by registering each action as an event. It enables detection of suspicious access patterns and policy violations while providing user accountability through detailed activity tracking. Resource access control auditing tracks permission changes, role assignments, and access control modifications throughout the infrastructure, ensuring all privilege escalations and delegations are recorded.

ESX hosts generate detailed audit logs capturing security-relevant events including authentication attempts, configuration changes, and administrative actions. These logs provide forensic capabilities for investigating security incidents at the hypervisor level. ESX audit logging integrates with centralized log management to ensure comprehensive visibility across all infrastructure layers.

Platform supports native syslog forwarding from all components to external Security Information and Event Management (SIEM) systems. This enables centralized security monitoring, correlation with other security tools, and long-term log retention for compliance requirements. Integration with leading SIEM platforms provides real-time threat detection and automated incident response capabilities.

VCF Operations for Logs includes pre-built content packs with dashboards and alerts for security use cases. These content packs provide immediate visibility into failed login attempts, privilege escalations, compliance violations, and suspicious administrative activities. Content packs accelerate security monitoring deployment by providing tested queries, visualizations, and alert definitions based on VMware best practices.

Platform extends monitoring to containerized environments. It provides visibility into Kubernetes cluster health, namespace resource consumption, pod security violations, and container image vulnerabilities through integrated Harbor registry scanning. Network traffic analysis includes container-to-container communications with anomaly detection for cloud-native workloads.

VCF Operations includes rule-based and machine learning-based analytics for proactive threat detection and anomaly identification. VCF/TCP tracks configuration drift across all infrastructure components. Administrators can trace configuration changes back to specific users and timestamps.

VMware vDefend enables organizations to use custom and third-party threat intelligence. vDefend supports importing custom Intrusion Detection System/Intrusion Prevention System (IDS/IPS) signatures or those from third-party threat feeds. This enables tailored defenses against industry-specific attacks. Integration with Information Sharing and Analysis Centers (ISACs) such as Financial Services ISAC (FS-ISAC) or Health ISAC (H-ISAC) provides protection against targeted threats.

vDefend virtual patching capabilities allow deployment of custom IDS/IPS signatures to protect against vulnerabilities before official patches are available. vDefend signature bundle management includes version control, validation, and automated distribution across the infrastructure. vDefend multi-layer defense architecture provides comprehensive threat defense including IDS/IPS, malware prevention, and network detection and response.",Contributes,,,,,,,,,,,,,,,,,,,
Retaining National Resilience and Capability,,, , , ,,,,,,,,,,,,,,,,,,,
M21.01,"GOV-03, GOV-17",Procedures should ensure contingencies are in place in the event that further locations are added to the Schedule of the Electronic Communications (Security Measures) Regulations 2022.,"3(3)(a)(iii); 3(3)(d),(e); 3(5); 5(2); 5(3); 7(1); 7(5); 8(1); 8(2)(a); 8(6)","VMware Live Recovery enables customizable business continuity and disaster recovery management in platform. Live Recovery operates on an ad-hoc basis or as part of pre-existing playbooks and runbooks. It supports granular recovery time objectives (RTO) and recovery point objectives (RPO) configurable at the object level. Organizations can perform non-disruptive testing through VMware Live Site Recovery and NSX integration.

Platform supports multiple protection methods and recovery types. Datastore groups use array-based replication, individual virtual machines (VMs) use vSphere Replication, and VMware Virtual Volumes use policy-driven replication. Recovery types include planned migration for orderly evacuation and disaster recovery for unexpected site failures. Live Recovery extends vSAN Data Protection capabilities for remote cluster replication.

VMware Live Site Recovery integrates with third-party storage replication solutions and backup providers through standardized application programming interfaces (APIs) and VMware vStorage APIs for Data Protection (VADP). It supports flexible network connectivity options to meet data transfer requirements. VMware HCX and the core VCF platform offer data mobility and replication options both locally and to remote targets. Changed Block Tracking (CBT) tracks modified disk blocks to enable incremental backups, significantly reducing backup windows and storage requirements.

Platform provides snapshot capabilities on a per-workload basis for point-in-time recovery of virtual machines. vSAN Express Storage Architecture (ESA) delivers metadata-based snapshots with improved performance over traditional implementations. vSAN Data Protection allows snapshots to be replicated and stored externally to the datastore with automated scheduling and retention policies.

VMware Live Site Recovery implements comprehensive disaster recovery capabilities through protection groups and recovery plans that organize and automate the recovery process. VCF/TCP supports bidirectional protection where each site can serve as both protected and recovery site for different VM sets, orchestrating failover and failback operations with customizable recovery plans.

Broadcom has measures for ensuring the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident.
Additionally, Broadcom has measures for increasing the transparency of data transfers and associated privacy impacts. Broadcom conducts - and provides reasonable assistance for its customers to conduct - data transfer risk assessments in relation to the locations, especially non-adequate third-countries outside of the EU/EEA, where Broadcom and/or the sub-processors acting on its behalf may transfer customer personal data.  Broadcom transparently discloses such destination locations in the transparency notices of the relevant products and services as published at https://www.broadcom.com/privacy. ",Contributes,,,,,,,,,,,,,,,,,,,
M21.02,"CLD-09, HRS-14, DCH-19","The measures to be taken by the provider under Regulation 3(3)(f) should normally include ensuring, so far as is reasonably practicable, that the equipment performing provider's network oversight functions is located within the UK, and operated using UK-based staff.",3(3)(f)(i),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M21.03,"HRS-13, HRS-03.2",The provider shall retain a UK-based technical capability to provide subject matter expertise on the operation of the provider's UK networks and the risks to the provider's UK networks.,3(3); 13(1),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M21.04,"DCH-19, DCH-24, RSK-04","Where data is stored offshore, the provider shall maintain a list of locations where the data is held. The risk due to holding the data in these locations, including any risk associated with local data protection law, shall be managed as part of the provider's risk management processes.","3(3)(a); 3(3)(f)(i),(ii),(iii); 5(2); 11",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M21.05,"GOV-01.2, GOV-01.1, DCH-19","Decisions about holding outside of the UK data relating to more than 100,000 UK subscribers, the operation of the large parts of the network, or the operation of network oversight functions, shall be taken at an appropriate governance level and recorded in writing. The sign-off for these decisions should normally be given by a person or committee at board level (or equivalent).","3(3)(a); 3(3)(f)(i),(ii),(iii); 5(3); 10(2)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M21.06,BCD-01,"If it should become necessary to do so, the provider shall have the ability to maintain (as relevant, where it provides such a form of connectivity prior to the event) the following UK network connectivity for a period of one month in the event of loss of international connections: fixed and mobile data connectivity to UK peering points; mobile voice; and text-based mobile messaging.",3(3)(f)(iii); 5(2),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M21.07,BCD-01,"If it should become necessary to do so, the provider shall be able to transfer into the UK functions required by UK networks to maintain an operational service, should international bearers fail.",3(3)(f)(iii); 5(2),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
