Control ID,SCF ID,Description,Control Coverage,Response,
37.5,PRI-01.4,"The data protection officer shall be designated on the basis of professional qualities and, in particular, expert knowledge of data protection law and practices and the ability to fulfil the tasks referred to in Article 39.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.6,PRI-01.4,"The data protection officer may be a staff member of the controller or processor, or fulfil the tasks on the basis of a service contract.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.7,PRI-01.4,The controller or the processor shall publish the contact details of the data protection officer and communicate them to the supervisory authority.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
38.1,PRI-01.4,"The controller and the processor shall ensure that the data protection officer is involved, properly and in a timely manner, in all issues which relate to the protection of personal data.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
38.2,PRI-01.4,"The controller and processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal data and processing operations, and to maintain his or her expert knowledge.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
38.3,PRI-01.4,The controller and processor shall ensure that the data protection officer does not receive any instructions regarding the exercise of those tasks. He or she shall not be dismissed or penalised by the controller or the processor for performing his tasks. The data protection officer shall directly report to the highest management level of the controller or the processor.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
38.4,PRI-01.4,Data subjects may contact the data protection officer with regard to all issues related to processing of their personal data and to the exercise of their rights under this Regulation.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
38.5,PRI-01.4,"The data protection officer shall be bound by secrecy or confidentiality concerning the performance of his or her tasks, in accordance with Union or Member State law.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
38.6,PRI-01.4,"The data protection officer may fulfil other tasks and duties. The controller or processor shall ensure that any such tasks and duties do not result in a conflict of interests.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.1,PRI-01.4,"The data protection officer shall have at least the following tasks:
a. to inform and advise the controller or the processor and the employees who carry out processing of their obligations pursuant to this Regulation and to other Union or Member State data protection provisions;
b. to monitor compliance with this Regulation, with other Union or Member State data protection provisions and with the policies of the controller or processor in relation to the protection of personal data, including the assignment of responsibilities, awareness-raising and training of staff involved in processing operations, and the related audits;
c. to provide advice where requested as regards the data protection impact assessment and monitor its performance pursuant to Article 35;
d. to cooperate with the supervisory authority;
e. to act as the contact point for the supervisory authority on issues relating to processing, including the prior consultation referred to in Article 36, and to consult, where appropriate, with regard to any other matter.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.1(a),PRI-01.4,"The data protection officer shall have at least the following tasks:
a. to inform and advise the controller or the processor and the employees who carry out processing of their obligations pursuant to this Regulation and to other Union or Member State data protection provisions;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.1(b),PRI-01.4,"The data protection officer shall have at least the following tasks:

b. to monitor compliance with this Regulation, with other Union or Member State data protection provisions and with the policies of the controller or processor in relation to the protection of personal data, including the assignment of responsibilities, awareness-raising and training of staff involved in processing operations, and the related audits;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.1(c),PRI-01.4,"The data protection officer shall have at least the following tasks:

c. to provide advice where requested as regards the data protection impact assessment and monitor its performance pursuant to Article 35;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.1(d),PRI-01.4,"The data protection officer shall have at least the following tasks:

d. to cooperate with the supervisory authority;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.1(e),PRI-01.4,"The data protection officer shall have at least the following tasks:

e. to act as the contact point for the supervisory authority on issues relating to processing, including the prior consultation referred to in Article 36, and to consult, where appropriate, with regard to any other matter.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
39.2,PRI-01.4,"The data protection officer shall in the performance of his or her tasks have due regard to the risk associated with processing operations, taking into account the nature, scope, context and purposes of processing.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
44,DCH-25,"Any transfer of personal data which are undergoing processing or are intended for processing after transfer to a third country or to an international organisation shall take place only if, subject to the other provisions of this Regulation, the conditions laid down in this Chapter are complied with by the controller and processor, including for onward transfers of personal data from the third country or an international organisation to another third country or to another international organisation. All provisions in this Chapter shall be applied in order to ensure that the level of protection of natural persons guaranteed by this Regulation is not undermined.",Contributes,"VMware vDefend provides robust network-level enforcement capabilities essential for managing international data transfers. Its Gateway Firewall and Distributed Firewall enforce policies that restrict data transfers to unauthorized or geographically prohibited destinations. This is further enhanced by URL filtering and TLS inspection, which enable policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination. Security Intelligence capabilities support audit and documentation of data flow governance decisions by exporting information about labeled compute entities.

While vDefend provides critical technical controls at the network layer, the comprehensive compliance with conditions for international data transfers, including onward transfers, requires the customer to define and implement the necessary legal, contractual, and organizational policies. vDefend does not directly enforce data residency, contractual, or legal compliance obligations, which necessitates complementary governance controls and processes established by the customer as the data controller and processor.",
45.1,"DCH-25, PRI-01.5","A transfer of personal data to a third country or an international organisation may take place where the Commission has decided that the third country, a territory or one or more specified sectors within that third country, or the international organisation in question ensures an adequate level of protection. Such a transfer shall not require any specific authorisation.",Contributes,"VCF, through its integrated network security capabilities, provides the technical mechanisms to enforce policies that restrict data transfers to unauthorized or geographically prohibited destinations. The Gateway Firewall and Distributed Firewall can enforce network-level controls, while URL filtering and TLS inspection extend this by enabling policy-based blocking or inspection of outbound connections based on category, reputation, or destination. Security Intelligence features support audit and documentation of data flow governance decisions by exporting information about labeled compute entities.

The platform operates at the network layer and does not directly enforce data residency, contractual, or legal compliance obligations. Customers are responsible for defining and implementing the specific network policies based on the Commission's adequacy decisions and their own legal and contractual requirements. This includes mapping legal compliance obligations to technical controls and establishing the necessary governance processes to manage and validate data transfer destinations.",
46.1,"DCH-25, PRI-01.5","In the absence of a decision pursuant to Article 45(3), a controller or processor may transfer personal data to a third country or an international organisation only if the controller or processor has provided appropriate safeguards, and on condition that enforceable data subject rights and effective legal remedies for data subjects are available.",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall capabilities enforce network-level policies, restricting data transfers to unauthorized or geographically prohibited destinations. This directly contributes to establishing appropriate safeguards for sensitive data transfers to third countries or international organizations. Further enhancing this capability, URL filtering and TLS inspection enable policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination.

Security Intelligence provides the ability to export information about labeled compute entities to CSV, supporting audit and documentation of data flow governance decisions.

While vDefend provides critical network-layer enforcement, it does not directly address or enforce data residency, contractual, or legal compliance obligations. The establishment of comprehensive appropriate safeguards, enforceable data subject rights, and effective legal remedies requires the customer to define and implement complementary governance controls, legal frameworks, and organizational processes.",
46.2,DCH-25,"The appropriate safeguards referred to in paragraph 1 may be provided for, without requiring any specific authorisation from a supervisory authority, by:
a. a legally binding and enforceable instrument between public authorities or bodies;
b. binding corporate rules in accordance with Article 47;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
46.2(a),DCH-25,"The appropriate safeguards referred to in paragraph 1 may be provided for, without requiring any specific authorisation from a supervisory authority, by:
a. a legally binding and enforceable instrument between public authorities or bodies;
",Contributes,"VMware vDefend provides robust network-level policy enforcement through its Gateway Firewall and Distributed Firewall. These capabilities restrict data transfers to unauthorized or geographically prohibited destinations, which is critical for safeguarding sensitive data during transfers to third countries or international organizations.

URL filtering and TLS inspection further extend this by enabling policy-based blocking or inspection of outbound connections based on category, reputation, or destination. Security Intelligence supports audit and documentation of data flow governance decisions by exporting information about labeled compute entities to CSV.

While vDefend offers essential technical mechanisms to enforce data transfer policies, it operates at the network layer and does not directly establish or enforce legally binding and enforceable instruments between public authorities or bodies. The creation, maintenance, and legal enforceability of such instruments, along with the definition of data residency, contractual, or legal compliance obligations, remain the responsibility of the customer's governance framework. These aspects require complementary organizational policies and legal agreements to fully address the control's requirements.",
46.2(b),PRI-01.5,"The appropriate safeguards referred to in paragraph 1 may be provided for, without requiring any specific authorisation from a supervisory authority, by:

b. binding corporate rules in accordance with Article 47;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
46.3(a),PRI-07.1,"Subject to the authorisation from the competent supervisory authority, the appropriate safeguards referred to in paragraph 1 may also be provided for, in particular, by:
a. contractual clauses between the controller or processor and the controller, processor or the recipient of the personal data in the third country or international organisation;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
49.1,DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:
a. the data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject due to the absence of an adequacy decision and appropriate safeguards;
b. the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject’s request;
c. the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person;
d. the transfer is necessary for important reasons of public interest;
e. the transfer is necessary for the establishment, exercise or defence of legal claims;
f. the transfer is necessary in order to protect the vital interests of the data subject or of other persons, where the data subject is physically or legally incapable of giving consent;
g. the transfer is made from a register which according to Union or Member State law is intended to provide information to the public and which is open to consultation either by the public in general or by any person who can demonstrate a legitimate interest, but only to the extent that the conditions laid down by Union or Member State law for consultation are fulfilled in the particular case.",Contributes,"VMware vDefend provides network-level enforcement capabilities that restrict data transfers to unauthorized or geographically prohibited destinations. Its Gateway Firewall and Distributed Firewall can enforce policies to prevent data from leaving specified boundaries. URL filtering and TLS inspection further enhance this by enabling policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination. Additionally, Security Intelligence can export information about labeled compute entities, supporting audit and documentation of data flow governance decisions related to cross-border transfers.

While these technical controls contribute to managing data egress, vDefend operates at the network layer and does not directly enforce the legal or contractual conditions required for cross-border data transfers, such as explicit data subject consent, contractual necessity, public interest justifications, or the establishment of legal claims. The determination and validation of these specific conditions, along with the implementation of data residency, contractual, and legal compliance obligations, remain the responsibility of the customer through complementary governance controls and organizational processes.",
49.1(a),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:
a. the data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject due to the absence of an adequacy decision and appropriate safeguards;
",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall enforce network-level policies, restricting data transfers to unauthorized or geographically prohibited destinations. This capability directly supports controls over sensitive data transfers to third countries or international organizations. URL filtering and TLS inspection extend this enforcement by enabling policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination. Furthermore, Security Intelligence exports information about labeled compute entities to CSV, providing essential data for auditing and documenting data flow governance decisions.

While vDefend provides robust network-level enforcement, it operates at the network layer and does not directly manage data subject consent or provide risk notifications. The explicit consent of the data subject, after being informed of potential risks due to the absence of an adequacy decision and appropriate safeguards, remains a customer responsibility. Defining and implementing the processes for obtaining and documenting this consent, along with ensuring data subjects are adequately informed, requires complementary governance, legal, and application-level controls. vDefend does not enforce data residency, contractual, or legal compliance obligations directly.",
49.1(b),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:

b. the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject’s request;
",Contributes,"VMware vDefend provides robust network-level controls essential for managing data transfers. Its Gateway Firewall and Distributed Firewall enforce network policies, restricting data transfers to unauthorized or geographically prohibited destinations. This capability is extended by URL filtering and TLS inspection, which enable policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination. Security Intelligence further supports audit and documentation requirements by exporting information about labeled compute entities, aiding in the governance of data flows.

While these technical controls contribute to restricting and monitoring data flows, the platform operates at the network layer and does not directly assess or enforce the legal basis for data transfers. The determination of whether a transfer is necessary for the performance of a contract between the data subject and the controller, or for pre-contractual measures, requires the implementation of comprehensive governance controls, organizational policies, and human accountability to ensure compliance with contractual and legal obligations.",
49.1(c),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:

c. the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person;
",Contributes,"VMware vDefend provides robust network-level controls to manage and restrict data transfers to third countries or international organizations. Its Gateway Firewall and Distributed Firewall enforce policies that prevent data from reaching unauthorized or geographically prohibited destinations. URL filtering and TLS inspection further enhance this capability by enabling policy-based blocking or inspection of outbound connections based on category, reputation, or specific destination.

Security Intelligence features support audit and documentation requirements by exporting information about labeled compute entities, aiding in the governance of data flows.

While vDefend offers critical technical enforcement mechanisms for data transfer policies, it operates at the network layer and does not directly assess or enforce the legal or contractual necessity for data transfers. The determination that a transfer is necessary for the conclusion or performance of a contract in the interest of the data subject, as well as the establishment of associated data residency and legal compliance obligations, remains a customer responsibility requiring comprehensive governance controls, policy definition, and legal oversight.",
49.1(d),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:

d. the transfer is necessary for important reasons of public interest;
",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall capabilities enforce network-level policies, restricting data transfers to unauthorized or geographically prohibited destinations. This includes the ability to block or inspect outbound connections to external services based on category, reputation, or destination through URL filtering and TLS inspection.

Security Intelligence further supports compliance by exporting information about labeled compute entities to CSV, which aids in auditing and documenting data flow governance decisions.

The determination of ""important reasons of public interest"" for data transfers, along with the establishment of corresponding legal and and contractual compliance obligations, remains a customer responsibility. vDefend operates at the network layer and provides the technical enforcement mechanisms, but it does not directly enforce data residency, contractual terms, or legal compliance obligations, which require the implementation of complementary governance controls and policy definitions by the customer.",
49.1(e),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:

e. the transfer is necessary for the establishment, exercise or defence of legal claims;
",Contributes,"VMware vDefend provides robust network-level controls to manage and restrict data transfers. Its Gateway Firewall and Distributed Firewall capabilities enforce network policies, preventing data transfers to unauthorized or geographically prohibited destinations. URL filtering and TLS inspection further enhance this by enabling policy-based blocking or inspection of outbound connections based on category, reputation, or specific destination. Security Intelligence supports audit and documentation requirements by exporting information about labeled compute entities, aiding in the governance of data flows.

While vDefend offers technical mechanisms to control *where* data can be transferred, it does not directly assess or enforce the legal necessity for a transfer related to the establishment, exercise, or defense of legal claims. The platform operates at the network layer and does not enforce data residency, contractual, or legal compliance obligations. Customers are responsible for establishing comprehensive governance controls, defining policies, and obtaining legal counsel to determine the legitimate necessity of such transfers under Article 49(1)(e). This includes configuring vDefend's network policies to align with these legal and policy decisions, ensuring that only authorized and legally justified transfers occur.",
49.1(f),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:
 
f. the transfer is necessary in order to protect the vital interests of the data subject or of other persons, where the data subject is physically or legally incapable of giving consent;
",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall enforce network-level policies, restricting data transfers to unauthorized or geographically prohibited destinations. This capability extends to URL filtering and TLS inspection, enabling policy-based blocking or inspection of outbound connections based on category, reputation, or destination. Security Intelligence further supports data flow governance by exporting information about labeled compute entities, aiding in audit and documentation processes for data transfers. These technical controls establish a robust foundation for managing and monitoring data egress from the environment.

The determination of whether a data transfer is necessary to protect the vital interests of a data subject or other persons, particularly when the data subject is physically or legally incapable of giving consent, is a legal and governance decision. While VMware Cloud Foundation provides the network-level enforcement and auditing capabilities, it does not directly assess or enforce the specific legal conditions or justifications for such transfers. Customers are responsible for establishing the requisite policies, processes, and human oversight to make these determinations and ensure compliance with the specific conditions outlined in Article 49.1(f).",
49.1(g),DCH-25,"In the absence of an adequacy decision pursuant to Article 45(3), or of appropriate safeguards pursuant to Article 46, including binding corporate rules, a transfer or a set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions:
a. the data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject 

g. the transfer is made from a register which according to Union or Member State law is intended to provide information to the public and which is open to consultation either by the public in general or by any person who can demonstrate a legitimate interest, but only to the extent that the conditions laid down by Union or Member State law for consultation are fulfilled in the particular case.",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall enforce network-level policies, restricting data transfers to unauthorized or geographically prohibited destinations. URL filtering and TLS inspection extend this capability by enabling policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination. Security Intelligence exports information about labeled compute entities to CSV, supporting audit and documentation of data flow governance decisions. These capabilities provide the technical mechanisms to control and restrict data transfers to third countries or international organizations.

The determination of whether a transfer originates from a register intended to provide public information, and whether it adheres to specific Union or Member State law conditions for consultation, is a legal and policy-driven assessment. VMware vDefend operates at the network layer and does not directly enforce data residency, contractual, or legal compliance obligations. Customers are responsible for establishing the necessary governance, legal counsel, and policy definitions to ensure that any data transfers from public registers comply with applicable laws and conditions. The platform provides the technical enforcement layer for the outcomes of these legal and policy decisions.",
49.2,DCH-25,"A transfer pursuant to point (g) of the first subparagraph of paragraph 1 shall not involve the entirety of the personal data or entire categories of the personal data contained in the register. Where the register is intended for consultation by persons having a legitimate interest, the transfer shall be made only at the request of those persons or if they are to be the recipients.",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall enforce network-level policies that restrict data transfers to unauthorized or geographically prohibited destinations, thereby contributing to controls over sensitive data transfers to third countries or international organizations. URL filtering and TLS inspection extend this capability by enabling policy-based blocking or inspection of outbound connections to external services based on category, reputation, or destination. Security Intelligence can export information about labeled compute entities to CSV, supporting audit and documentation of data flow governance decisions.

The customer is responsible for implementing application-level controls and governance policies to ensure that transfers do not involve the entirety of personal data or entire categories of personal data from a register. This includes defining and enforcing the specific data minimization logic within applications and establishing mechanisms for transfers to be made only at the request of legitimate interest persons or if they are the intended recipients. vDefend operates at the network layer and does not enforce data residency, contractual, or legal compliance obligations directly, which require complementary governance controls and application-specific logic.",
49.3,DCH-25,"Points (a), (b) and (c) of the first subparagraph of paragraph 1 and the second subparagraph thereof shall not apply to activities carried out by public authorities in the exercise of their public powers.",Contributes,"VMware vDefend's Gateway Firewall and Distributed Firewall enforce network-level policies that restrict data transfers to unauthorized or geographically prohibited destinations, directly supporting controls over sensitive data transfers to third countries or international organizations. This capability is extended through URL filtering and TLS inspection, which enable policy-based blocking or inspection of outbound connections based on category, reputation, or destination. Security Intelligence further supports audit and documentation of data flow governance decisions by exporting information about labeled compute entities to CSV. These technical capabilities provide the foundational enforcement mechanisms for data transfer governance.

The control itself defines an exemption for activities carried out by public authorities in the exercise of their public powers. VMware Cloud Foundation operates at the network layer and does not interpret or apply legal, contractual, or policy-based exemptions. The determination and application of such exemptions, including the identification of public authorities and their public powers, are governance decisions that remain the sole responsibility of the customer. This requires the customer to establish complementary governance controls, policies, and processes to manage data residency, contractual obligations, and legal compliance in accordance with the defined exemptions.",
49.4,DCH-25,The public interest referred to in point (d) of the first subparagraph of paragraph 1 shall be recognised in Union law or in the law of the Member State to which the controller is subject.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
49.6,DCH-25,The controller or processor shall document the assessment as well as the suitable safeguards referred to in the second subparagraph of paragraph 1 of this Article in the records referred to in Article 30.,Contributes,"VMware vDefend provides robust network-level controls that contribute to the documentation of suitable safeguards for data transfers. Its Gateway Firewall and Distributed Firewall enforce policies to restrict data transfers to unauthorized or geographically prohibited destinations. This capability is extended through URL filtering and TLS inspection, which enable policy-based blocking or inspection of outbound connections based on category, reputation, or destination, thereby implementing critical safeguards. Furthermore, vDefend's Security Intelligence can export information about labeled compute entities to CSV, directly supporting the audit and documentation of data flow governance decisions and the implementation of these safeguards.

While vDefend provides the technical means to implement and gather evidence for safeguards, the controller or processor remains responsible for formally documenting the comprehensive assessment of data transfers, the specific suitable safeguards, and maintaining these records in accordance with Article 30 requirements. vDefend operates at the network layer and does not directly generate or manage the overarching legal, contractual, or formal assessment documentation required for full compliance with data residency, contractual, or legal obligations. These aspects necessitate complementary governance processes and customer-defined policies.",
